Car.PitchAcc,Car.PitchVel,Car.RollAcc,Car.RollVel,Car.YawAcc,Car.YawVel,Car.ax,Car.ay,Car.az,Car.v,Car.vx,Car.vy,Car.vz,Time
rad/s^2,rad/s,rad/s^2,rad/s,rad/s^2,rad/s,m/s^2,m/s^2,m/s^2,m/s,m/s,m/s,m/s,s
1.29E-05,-1.58E-06,-1.43E-08,3.14E-09,-8.09E-10,2.18E-10,4.38E-06,-5.03E-09,6.07E-07,1.60E-06,-7.55E-07,-1.62E-09,1.41E-06,0.481
1.27E-05,-1.45E-06,-1.59E-08,2.99E-09,-9.29E-10,2.09E-10,4.51E-06,-2.86E-09,-2.80E-07,1.58E-06,-7.11E-07,-1.66E-09,1.41E-06,0.491
1.23E-05,-1.33E-06,-1.72E-08,2.83E-09,-1.07E-09,1.99E-10,4.59E-06,-8.46E-10,-1.12E-06,1.56E-06,-6.66E-07,-1.68E-09,1.41E-06,0.501
1.19E-05,-1.21E-06,-1.82E-08,2.65E-09,-1.24E-09,1.88E-10,4.64E-06,9.95E-10,-1.91E-06,1.52E-06,-6.20E-07,-1.68E-09,1.39E-06,0.511
1.14E-05,-1.09E-06,-1.90E-08,2.46E-09,-1.42E-09,1.74E-10,4.64E-06,2.67E-09,-2.65E-06,1.49E-06,-5.74E-07,-1.66E-09,1.37E-06,0.521
1.09E-05,-9.78E-07,-1.95E-08,2.27E-09,-1.62E-09,1.59E-10,4.61E-06,4.19E-09,-3.33E-06,1.44E-06,-5.28E-07,-1.63E-09,1.34E-06,0.531
1.04E-05,-8.71E-07,-1.84E-08,2.08E-09,-3.70E-09,1.32E-10,4.65E-06,5.55E-09,-3.93E-06,1.39E-06,-4.82E-07,-1.58E-09,1.31E-06,0.541
9.76E-06,-7.71E-07,-1.76E-08,1.90E-09,-3.82E-09,9.35E-11,4.79E-06,6.30E-09,-4.41E-06,1.34E-06,-4.35E-07,-1.52E-09,1.27E-06,0.551
8.94E-06,-6.78E-07,-2.36E-08,1.67E-09,-3.17E-09,5.73E-11,4.88E-06,7.33E-09,-5.12E-06,1.28E-06,-3.87E-07,-1.45E-09,1.22E-06,0.561
8.10E-06,-5.93E-07,-2.41E-08,1.44E-09,-1.34E-09,3.52E-11,4.87E-06,7.07E-09,-5.63E-06,1.22E-06,-3.39E-07,-1.38E-09,1.17E-06,0.571
7.32E-06,-5.16E-07,-2.47E-08,1.19E-09,-1.19E-10,2.93E-11,4.77E-06,7.36E-09,-6.08E-06,1.15E-06,-2.91E-07,-1.31E-09,1.11E-06,0.581
6.67E-06,-4.47E-07,-2.36E-08,9.49E-10,3.94E-10,3.12E-11,3.76E-06,7.91E-09,-6.68E-06,1.08E-06,-2.51E-07,-1.23E-09,1.05E-06,0.591
6.05E-06,-3.84E-07,3.74E-08,4.61E-10,-3.27E-09,6.11E-11,3.14E-06,3.30E-08,-7.13E-06,1.01E-06,-2.19E-07,-1.14E-09,9.82E-07,0.601
5.38E-06,-3.27E-07,4.78E-08,2.21E-10,-1.10E-08,5.90E-11,2.95E-06,3.25E-08,-7.42E-06,9.30E-07,-1.92E-07,-1.05E-09,9.09E-07,0.611
4.72E-06,-2.77E-07,-2.49E-08,-1.27E-10,-2.28E-07,2.58E-10,2.38E-06,1.01E-08,-7.76E-06,8.51E-07,-1.68E-07,-9.31E-10,8.35E-07,0.621
4.15E-06,-2.33E-07,-2.45E-08,1.91E-10,1.33E-07,7.55E-11,2.15E-06,-2.14E-09,-7.84E-06,7.72E-07,-1.45E-07,-8.70E-10,7.59E-07,0.631
3.64E-06,-1.94E-07,1.86E-08,6.99E-12,-1.82E-08,-8.13E-12,1.91E-06,7.00E-09,-7.77E-06,6.94E-07,-1.21E-07,-7.77E-10,6.83E-07,0.641
3.29E-06,-1.60E-07,-4.03E-09,4.83E-11,-1.46E-09,-7.67E-11,2.30E-06,7.28E-09,-7.54E-06,6.16E-07,-9.76E-08,-6.97E-10,6.09E-07,0.651
2.98E-06,-1.29E-07,-7.13E-09,-1.46E-11,1.56E-09,-7.02E-11,2.21E-06,7.20E-09,-7.29E-06,5.42E-07,-7.31E-08,-6.21E-10,5.37E-07,0.661
2.74E-06,-1.00E-07,-8.24E-09,-9.22E-11,1.85E-09,-5.21E-11,2.80E-06,6.72E-09,-6.71E-06,4.70E-07,-4.85E-08,-5.51E-10,4.67E-07,0.671
2.56E-06,-7.39E-08,-8.83E-09,-1.79E-10,1.59E-09,-3.51E-11,2.97E-06,6.36E-09,-6.24E-06,4.02E-07,-2.38E-08,-4.85E-10,4.02E-07,0.681
2.39E-06,-4.92E-08,-8.55E-09,-2.66E-10,1.19E-09,-2.16E-11,2.44E-06,6.03E-09,-5.91E-06,3.39E-07,4.23E-11,-4.23E-10,3.39E-07,0.691
2.19E-06,-2.62E-08,-7.62E-09,-3.47E-10,2.27E-09,-5.23E-12,1.79E-06,5.59E-09,-5.87E-06,2.82E-07,2.29E-08,-3.65E-10,2.81E-07,0.701
1.92E-06,-5.77E-09,-8.75E-08,-2.38E-10,-1.25E-07,-1.41E-10,2.08E-06,-1.28E-08,-5.52E-06,2.30E-07,4.51E-08,-3.09E-10,2.25E-07,0.711
1.70E-06,1.21E-08,-6.78E-08,-1.92E-10,-2.15E-07,-4.35E-10,2.01E-06,1.90E-08,-5.17E-06,1.86E-07,6.69E-08,-2.77E-10,1.73E-07,0.721
1.51E-06,2.81E-08,-6.61E-08,-3.74E-10,-2.31E-07,-2.93E-10,1.88E-06,2.73E-08,-4.87E-06,1.52E-07,8.79E-08,-2.35E-10,1.24E-07,0.731
